Total: 861.53MB, Files: 483
---
31421KB  lpevents\startup_expo_memories\mem2.png
27360KB  lpevents\startup_expo_memories\mem1.png
24013KB  lpevents\startup_expo_memories\mem3.png
22265KB  lpevents\startup_expo_memories\mem4.png
15394KB  lpevents\id\id1.jpeg
14656KB  lp event wise\DSC08187.JPG
14624KB  lp event wise\DSC08165.JPG
14464KB  Gallery\DSC08244.JPG
14208KB  Gallery\ZAK09026 (1) copy.JPG
14208KB  Gallery\ZAK09026 (1).JPG
14208KB  Gallery\ZAK09026 copy.JPG
14208KB  Gallery\ZAK09026.JPG
14208KB  lp event wise\ZAK09026.JPG
14048KB  Gallery\Copy of DSC08129 copy.JPG
14048KB  lp event wise\Copy of DSC08129.JPG
14041KB  Gallery\DSC_7575 copy.JPG
14041KB  lp event wise\DSC_7575.JPG
13600KB  lp event wise\DSC08198.JPG
13216KB  Gallery\ZAK06914 copy.JPG
13216KB  Gallery\ZAK06914.JPG
13216KB  lp event wise\ZAK06914.JPG
13152KB  Gallery\ZAK06906 copy.JPG
13152KB  Gallery\ZAK06906.JPG
13152KB  lp event wise\ZAK06906.JPG
13120KB  Gallery\ZAK06787 copy.JPG
13120KB  Gallery\ZAK06787.JPG
13120KB  lp event wise\ZAK06787.JPG
12855KB  Gallery\A7C07609 copy.JPG
12855KB  Gallery\A7C07609.JPG
12855KB  lp event wise\A7C07609.JPG
12091KB  Gallery\A7C07679 copy.JPG
12091KB  Gallery\A7C07679.JPG
12091KB  lp event wise\A7C07679.JPG
11572KB  Gallery\A7C01434 copy.JPG
11572KB  Gallery\A7C01434.JPG
11572KB  lp event wise\A7C01434.JPG
11433KB  Gallery\A7C01533 copy.JPG
11433KB  Gallery\A7C01533.JPG
11433KB  lp event wise\A7C01533.JPG
10967KB  Gallery\DSC_7580 copy.JPG
10967KB  lp event wise\DSC_7580.JPG
10430KB  Gallery\A7C01490 copy.JPG
10430KB  Gallery\A7C01490.JPG
10430KB  lp event wise\A7C01490.JPG
9190KB  Girisha.jpg
8896KB  Gallery\ZAK06891 copy.JPG
8896KB  Gallery\ZAK06891.JPG
8896KB  lp event wise\ZAK06891.JPG
8590KB  Gallery\ZAK08249 copy.jpg
8590KB  Gallery\ZAK08249.jpg
8590KB  lp event wise\ZAK08249.jpg
7511KB  por_photos\manas.jpg
7104KB  Gallery\ZAK07592 copy.JPG
7104KB  Gallery\ZAK07592.JPG
7104KB  lp event wise\ZAK07592.JPG
7072KB  Gallery\ZAK06380.JPG
7072KB  lp event wise\ZAK06380.JPG
5513KB  por_photos\darsh.jpg
5312KB  Gallery\ZAK06284.JPG
5312KB  lp event wise\ZAK06284.JPG
4986KB  Gallery\A7C01482 copy.JPG
4986KB  Gallery\A7C01482.JPG
4986KB  lp event wise\A7C01482.JPG
4917KB  Gallery\ZAK06930 copy.JPG
4917KB  Gallery\ZAK06930.JPG
4917KB  lp event wise\ZAK06930.JPG
4543KB  por_photos\raungta.jpg
4054KB  Aditya.jpg
3972KB  lp event wise\DSC_3511.JPG
3884KB  Gallery\DSC08248.JPG
3713KB  por_photos\shihab.jpg
3658KB  por_photos\akshaye.jpg
3124KB  lp event wise\DSC08178.JPG
3115KB  Gallery\A7C07547.jpg
3115KB  lp event wise\A7C07547.jpg
2753KB  por_photos\ayush.jpg
2391KB  por_photos\hamaid.jpg
2248KB  lp event wise\DSC_7935.JPG
2144KB  Gallery\A7C01516 copy.JPG
2144KB  Gallery\A7C01516.JPG
2144KB  lp event wise\A7C01516.JPG
1868KB  lp event wise\DSC_7961.JPG
1361KB  advik.png
1361KB  PORs\advik.png
1217KB  por_photos\rounak.jpeg
1076KB  Gallery\ZAK06519 copy.jpg
1076KB  Gallery\ZAK06519.jpg
1076KB  lp event wise\ZAK06519.jpg
1023KB  Vedant.jpg
956KB  lpevents\pitcherspilot\memory5.png
865KB  Gallery\7dec7ad9-75a7-4ac1-bbc0-7f6133c408ba copy.jpg
865KB  Gallery\7dec7ad9-75a7-4ac1-bbc0-7f6133c408ba.jpg
865KB  lp event wise\7dec7ad9-75a7-4ac1-bbc0-7f6133c408ba.jpg
863KB  lpevents\pitcherspilot\memory3.png
860KB  Speaker_session.png
848KB  lpevents\pitcherspilot\uploaded_card_design.png
826KB  SPEAKER PICS\home_speaker_1.png
761KB  Gallery\1f4814c7-a5cd-4a44-96e8-4cd4956d33a1 copy.jpg
761KB  Gallery\1f4814c7-a5cd-4a44-96e8-4cd4956d33a1.jpg
761KB  lp event wise\1f4814c7-a5cd-4a44-96e8-4cd4956d33a1.jpg
707KB  lpevents\pitcherspilot\memory1.png
703KB  PORs\vaishnavi.png
703KB  vaishnavi.png
613KB  Aarika.jpeg
602KB  lpevents\pitcherspilot\memory4.png
602KB  lpevents\pitcherspilot\new_memory_stage.png
591KB  Gallery\2bc82188-5eaa-4975-a051-0858f493c8c8 copy.jpg
591KB  Gallery\2bc82188-5eaa-4975-a051-0858f493c8c8.jpg
591KB  lp event wise\2bc82188-5eaa-4975-a051-0858f493c8c8.jpg
539KB  krish shah.jpeg
512KB  Gallery\IMG-20250403-WA0082.jpg
489KB  Gallery\IMG-20250403-WA0077.jpg
489KB  Gallery\IMG-20250403-WA0076.jpg
487KB  MT.png
472KB  Gallery\IMG-20250403-WA0074.jpg
457KB  startup_expo.JPG
457KB  por_photos\krish.jpg
438KB  Gallery-optimized\ZAK06519.jpg
432KB  Gallery\IMG-20250403-WA0081.jpg
428KB  Gallery\IMG-20250403-WA0075.jpg
415KB  Gallery\IMG-20250403-WA0079.jpg
395KB  MT2.png
386KB  Gallery\IMG-20250403-WA0080.jpg
380KB  Gallery-optimized\ZAK06930.jpg
367KB  PORs\sagnik.jpg
367KB  sagnik.jpg
348KB  sagnik.png
348KB  Gallery\IMG-20250403-WA0073.jpg
348KB  launchpad25.JPG
320KB  lpevents\startup expo.png
318KB  Gallery-optimized\A7C07547.jpg
314KB  Gallery\IMG-20250403-WA0083.jpg
314KB  lp event wise\IMG-20250403-WA0083.jpg
308KB  ishika.jpeg
308KB  PORs\ishika.jpeg
286KB  Gallery-optimized\ZAK08249.jpg
284KB  Gallery\IMG-20250403-WA0078.jpg
284KB  lp event wise\IMG-20250403-WA0078.jpg
280KB  por_photos\gunabhirup.jpeg
274KB  ground reality.JPG
273KB  lpevents\internship drive.png
270KB  Gallery-optimized\ZAK06906.jpg
269KB  startup.JPG
265KB  lpevents\pitcherspilot\memory2.jpg
262KB  Gallery-optimized\ZAK09026 (1).jpg
262KB  Gallery-optimized\ZAK09026.jpg
257KB  Gallery-optimized\IMG-20250403-WA0077.jpg
248KB  lpevents\beyond profits.png
238KB  Gallery-optimized\1f4814c7-a5cd-4a44-96e8-4cd4956d33a1.jpg
228KB  Gallery-optimized\DSC08244.jpg
227KB  PORs\surbhit.jpeg
227KB  surbhit.jpeg
225KB  Gallery-optimized\IMG-20250403-WA0073.jpg
224KB  Gallery-optimized\ZAK06914.jpg
222KB  t3_mem_2.jpg
221KB  Gallery-optimized\DSC08248.jpg
219KB  Gallery-optimized\ZAK06380.jpg
216KB  Gallery-optimized\IMG-20250403-WA0082.jpg
213KB  Gallery-optimized\7dec7ad9-75a7-4ac1-bbc0-7f6133c408ba.jpg
209KB  sonakshi.jpeg
207KB  pic.JPG
207KB  t3_mem_1.jpg
205KB  manav.jpeg
202KB  Dhaanvi.jpeg
199KB  lpevents\teen tycoons.png
197KB  por_photos\priyansh.jpeg
196KB  PORs\siddhant.jpeg
196KB  siddhant.jpeg
193KB  SPEAKER PICS\A_SIVANTHANU.png
191KB  Gallery-optimized\IMG-20250403-WA0075.jpg
189KB  speaker2.jpg
189KB  Gallery-optimized\A7C01434.jpg
189KB  Gallery-optimized\IMG-20250403-WA0076.jpg
186KB  t3_mem_4.jpg
184KB  Gallery-optimized\IMG-20250403-WA0081.jpg
184KB  Gallery-optimized\IMG-20250403-WA0074.jpg
182KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.56 PM.jpeg
181KB  lpevents\gr.jpg
181KB  Gallery-optimized\ZAK06787.jpg
180KB  Divvij.jpeg
180KB  Launchpad1.JPG
180KB  algocs.png
180KB  Gallery-optimized\IMG-20250403-WA0079.jpg
178KB  Gallery-optimized\2bc82188-5eaa-4975-a051-0858f493c8c8.jpg
176KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.59 PM.jpeg
176KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.52 PM.jpeg
175KB  new_startup.jpg
174KB  Gallery-optimized\ZAK07592.jpg
174KB  Gallery-optimized\A7C01482.jpg
173KB  aarya tripathi.jpeg
169KB  Gallery-optimized\A7C01490.jpg
167KB  dev.jpg
166KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.58 PM (3).jpeg
164KB  Gallery-optimized\A7C07609.jpg
164KB  Gallery-optimized\IMG-20250403-WA0078.jpg
163KB  Gallery-optimized\IMG-20250403-WA0080.jpg
163KB  Gallery-optimized\A7C01516.jpg
163KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.51 PM.jpeg
162KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.53 PM.jpeg
160KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.49 PM (2).jpeg
159KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.51 PM (2).jpeg
158KB  Gallery-optimized\ZAK06891.jpg
158KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.58 PM (1).jpeg
157KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.53 PM (1).jpeg
154KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.58 PM.jpeg
153KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.50 PM (2).jpeg
153KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.50 PM (1).jpeg
150KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.54 PM (1).jpeg
149KB  Gallery-optimized\A7C07679.jpg
146KB  Gallery-optimized\ZAK06284.jpg
146KB  Prarthana.jpeg
144KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.54 PM.jpeg
143KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.51 PM (1).jpeg
143KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.55 PM (3).jpeg
143KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.49 PM.jpeg
142KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.53 PM (2).jpeg
141KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.50 PM.jpeg
141KB  purushotam.jpeg
140KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.58 PM (2).jpeg
140KB  SPEAKER PICS\home_speaker_3.jpg
138KB  t3_mem_3.jpg
137KB  varshith.jpg
135KB  Ramya.jpeg
135KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.49 PM (1).jpeg
134KB  lpevents\pitchers pilot.png
132KB  Gallery-optimized\IMG-20250403-WA0083.jpg
132KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.56 PM (2).jpeg
132KB  SPEAKER PICS\vp_india_naidu.jpg
131KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.52 PM (1).jpeg
131KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.53 PM (3).jpeg
130KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.57 PM (1).jpeg
129KB  ss.JPG
128KB  por_photos\aarika.jpg
127KB  por_photos\shahil.jpeg
127KB  startuptalky.png
127KB  lpevents\gr\gr_mem_1.jpg
125KB  lpevents\gr\gr_mem_5.jpg
125KB  shoaib.png
125KB  PORs\shreshth.jpg
125KB  shreshth.jpg
125KB  launchpas2.jpeg
123KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.55 PM (2).jpeg
123KB  SPEAKER PICS\PRANAY-PAI.png
123KB  lpevents\gr\gr_mem_2.jpg
122KB  por_photos\dhruv.jpeg
121KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.57 PM (2).jpeg
121KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.57 PM.jpeg
120KB  por_photos\akshat.jpeg
119KB  PORs\manav.jpg
119KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.55 PM.jpeg
118KB  SPEAKER PICS\home_speaker_1_v2.jpg
118KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.56 PM (1).jpeg
117KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.54 PM (2).jpeg
115KB  PORs\raghav.jpeg
115KB  raghav.jpeg
115KB  Gallery-optimized\A7C01533.jpg
113KB  auction.jpg
113KB  utkarsh.jpeg
113KB  om.jpeg
113KB  PORs\om.jpeg
113KB  lpevents\gr\gr_mem_3.jpg
112KB  SPEAKER PICS\home_speaker_2.jpg
110KB  lpevents\gr\gr_mem_4.jpg
107KB  lpevents\pitch perfect.png
106KB  SPEAKER PICS\kav.png
104KB  SPEAKER PICS\home_speaker_4.jpg
103KB  por_photos\guna.jpeg
102KB  vk_singh.jpg
101KB  ecell\LP26-yellow-filled.png
100KB  Sharduli.jpg
100KB  fundaspring.png
100KB  SPEAKER PICS\Nilesh-Kothari1.png
99KB  bizstandards.png
96KB  cocacola.png
96KB  riddhi.jpg
96KB  LaunchPad.JPG
93KB  spons\altair.jpg
91KB  educationtree.png
89KB  SPEAKER PICS\home_speaker_2_v2.jpg
89KB  SPEAKER PICS\home_speaker_5.jpg
89KB  ananya.jpeg
89KB  PORs\ananya.jpeg
88KB  class.jpg
88KB  spons\HINDU.png
88KB  startupstory.png
88KB  por_photos\mitesh.jpeg
86KB  7.png
85KB  Tejas.jpeg
85KB  5.png
84KB  6.png
81KB  Sejal.jpeg
79KB  spons\novatechsolar.png
77KB  noticebard.png
77KB  por_photos\akshat_kumar.jpeg
77KB  Anshul.jpeg
75KB  telanganatoday.png
75KB  jagran_josh.png
75KB  por_photos\akshat_ajmera.jpeg
74KB  Gallery\WhatsApp Image 2026-02-04 at 11.48.55 PM (1).jpeg
74KB  sony-logo.png
73KB  por_photos\sriniketh_mulagada.jpeg
73KB  SPEAKER PICS\SHREEDHAN.webp
71KB  thehindu.png
71KB  ecell\LP26-glow.png
69KB  actfibernet.png
69KB  altair.png
68KB  Deepali.jpeg
68KB  por_photos\harshit.jpeg
67KB  Companies\eatconfetti.png
66KB  spons\Lawseek.png
64KB  lpevents\networking arena.png
60KB  unstop.png
60KB  startupNews.png
60KB  nestle.png
60KB  SPEAKER PICS\periperi.png
58KB  plum.png
58KB  spons\flyberrygourmet.jpg
54KB  aqn.png
54KB  pitch.jpg
54KB  ecell\LP26-final.png
54KB  SPEAKER PICS\pranalimehta.jpeg
49KB  SPEAKER PICS\KAVITHA.jpeg
48KB  blogadda.png
48KB  por_photos\shaan.jpeg
47KB  dailyhunt.png
47KB  lec.jpg
46KB  edtimes.png
46KB  Companies\happimynd.png
45KB  spons\AMD33.png
44KB  ecell\lp_banner_yellow.png
44KB  ecell\lp_hero_green.png
44KB  spons\acn.jpg
43KB  nike-logo.png
43KB  Tanishq.jpeg
42KB  timesnie.png
42KB  adidas-logo.png
41KB  fablabs.png
41KB  nandan.jpg
39KB  ecell\lp_hero_landing.png
38KB  group.jpg
36KB  SPEAKER PICS\pranali.png
36KB  knowafest.png
36KB  spons\campustimes.png
34KB  lp_startup_expo.png
34KB  spons\fundaspring.jpg
34KB  thehansindia.png
34KB  samsung-logo.png
34KB  lp_ground_reality.png
33KB  study.jpg
33KB  startupIndia.png
30KB  spons\campa.png
28KB  SPEAKER PICS\gupta_mathongo.jpg
27KB  ecell.jpg
27KB  spons\coke.jpg
27KB  spons\ncore.png
26KB  spons\blogadda.jpg
26KB  spons\cosmos.png
26KB  decathlon.png
26KB  apple-logo.png
25KB  lp_internship_drive.png
25KB  SPEAKER PICS\piyush-goyal.jpeg
25KB  spons\FAB.jpg
20KB  spons\bharatversity.png
20KB  lp_teen_tycoons.png
19KB  spons\dubeat.jpg
18KB  lp_pitchers_pilot.png
18KB  SPEAKER PICS\gov_mizo.jpg
18KB  spons\nestle.jpg
18KB  SPEAKER PICS\TARUN-KATHIYAL.webp
18KB  spons\mototek.jpg
17KB  bharatversity.png
17KB  amd.png
17KB  SPEAKER PICS\dham.webp
16KB  spons\productfolks.png
16KB  pitch2.jpg
16KB  lplogo.jpeg
15KB  Sampooran.jpeg
14KB  spons\dailyhunt.jpg
13KB  Beyond.jpg
13KB  ground.jpg
13KB  SPEAKER PICS\ANKUSH-SINGHLA.jpeg
12KB  Bitsian startups\MPL_Logo 1.png
12KB  SPEAKER PICS\kiran_mazumdar_shaw.jpeg
12KB  SPEAKER PICS\kshitij_khandelwal.jpeg
12KB  dubeat.jpg
12KB  spons\times nie.png
12KB  spons\fitness_fundas.jpg
11KB  SPEAKER PICS\skippiboy.jpg
11KB  SPEAKER PICS\SAKCHI.jpeg
11KB  SPEAKER PICS\Miheeka.jpeg
11KB  Companies\careernaksha.png
10KB  spons\theprint.png
10KB  spons\noticebard.jpg
10KB  spons\ACT.jpg
10KB  Bitsian startups\Swiggy.png
9KB  ecell\LP'26.png
9KB  spons\catechnologies.jpeg
9KB  spons\yourstartupol.jpeg
9KB  SPEAKER PICS\varun.jpeg
9KB  spons\cornitos.jpg
8KB  SPEAKER PICS\hari.jpg
8KB  spons\learnngwhile travelling.jpeg
8KB  spons\leada.png
8KB  SPEAKER PICS\vinod-dham.jpeg
8KB  spons\creativals.jpg
8KB  Companies\speakup.png
8KB  spons\CTP.png
8KB  spons\royalbrothers.png
7KB  spons\50knetwork.jpeg
7KB  spons\startuptalky.jpg
7KB  spons\knowafest.jpg
7KB  spons\educationtree.png
7KB  spons\decathlon.jpg
7KB  Companies\sellersetu.png
7KB  spons\youthincorporated.png
7KB  spons\timesnetwork.png
7KB  expo.jpg
7KB  spons\huddle-logo.png
7KB  SPEAKER PICS\amangupta.jpeg
7KB  spons\lemon.png
6KB  spons\elyuxen.jpg
6KB  spons\nirmaan.png
6KB  SPEAKER PICS\VINEET.jpg
6KB  spons\sucseed.png
6KB  spons\edtimes.jpg
6KB  spons\jaarvis.png
6KB  spons\switcheko.jpg
6KB  spons\ecell.jpeg
5KB  ecell_logo_new.png
5KB  navbarlogo.png
5KB  ecell\lp_logo_new.png
5KB  SPEAKER PICS\sam.jpg
5KB  SPEAKER PICS\SP.jpeg
5KB  spons\venturecatalysts.png
5KB  Bitsian startups\bb.png
5KB  SPEAKER PICS\greg.webp
5KB  spons\ivycap.jpeg
5KB  spons\kurogaming.jpg
5KB  SPEAKER PICS\shashi.jpg
5KB  spons\pagalgyu.png
5KB  SPEAKER PICS\jayesh.jpeg
5KB  spons\algocs.jpg
